Theta(deg),Phi(deg),rEPhi_Real,rEPhi_Imag,rETheta_Real,rETheta_Imag,rETotal,RealizedGain,RealizedGain_Total,RealizedGain_dB,RealizedGain_Theta,RealizedGain_Phi,Gain,Gain_Total,Gain_dB,Gain_Theta,Gain_Phi,Directivity,Directivity_Total,Directivity_dB,Directivity_Theta,Directivity_Phi
0.0,-180.0,0.04745051759624381,0.003081996119192777,-0.1116099713753183,0.01033631838333867,0.12175662408407716,0.02470721043442382,0.02470721043442382,-16.07176285813049,0.02093888201244402,0.0037683284219798014,2.353067660421316,2.353067660421316,3.7163441511701283,1.994179239280383,0.35888842114093344,2.628426641959981,2.628426641959981,4.196958605872522,2.2275406396217043,0.40088600233827676
0.0,-175.0,0.05699740400434788,0.002169398687503027,-0.1070496766334021,0.01056559923218384,0.12175662408407711,0.024707210434423806,0.024707210434423806,-16.071762858130494,0.019284987587248316,0.0054222228471754955,2.3530676604213143,2.3530676604213143,3.716344151170125,1.8366654844998398,0.5164021759214757,2.6284266419599795,2.6284266419599795,4.196958605872521,2.051594424175353,0.5768322177846272
0.0,-170.0,0.0661105057520054,0.001240290821882643,-0.1016746692139438,0.01071446949118883,0.12175662408407721,0.024707210434423844,0.024707210434423844,-16.071762858130487,0.01742048661618781,0.007286723818236038,2.3530676604213183,2.3530676604213183,3.7163441511701327,1.6590939634464583,0.6939736969748608,2.6284266419599835,2.6284266419599835,4.196958605872528,1.853243257041257,0.7751833849187275
0.0,-165.0,0.07472046663227538,0.0003017435941996523,-0.09552585616892348,0.01078179616779236,0.12175662408407724,0.02470721043442386,0.02470721043442386,-16.071762858130484,0.015402031017785091,0.009305179416638764,2.3530676604213197,2.3530676604213197,3.716344151170135,1.4668600969319134,0.8862075634894061,2.628426641959985,2.628426641959985,4.1969586058725294,1.6385139380622442,0.9899127038977408
0.0,-160.0,0.08276175964402238,-0.0006391000844329685,-0.08865003367836863,0.01076706686533249,0.12175662408407721,0.024707210434423844,0.024707210434423844,-16.071762858130487,0.013290950544009831,0.011416259890414003,2.3530676604213183,2.3530676604213183,3.7163441511701327,1.2658048137152218,1.0872628467060956,2.6284266419599835,2.6284266419599835,4.196958605872528,1.413930908937216,1.2144957330227664
0.0,-155.0,0.09017318569196162,-0.00157507982552386,-0.0810995309031676,0.01067039368269469,0.12175662408407721,0.024707210434423844,0.024707210434423844,-16.071762858130487,0.01115138930679946,0.013555821127624384,2.3530676604213183,2.3530676604213183,3.7163441511701327,1.0620370768380436,1.2910305835832745,2.6284266419599835,2.6284266419599835,4.196958605872528,1.1863180113616445,1.4421086305983386
0.0,-150.0,0.09689833934872684,-0.002499072258083298,-0.07293181172855785,0.01049251236117169,0.12175662408407724,0.02470721043442386,0.02470721043442386,-16.071762858130484,0.009048356791676362,0.01565885364274749,2.3530676604213197,2.3530676604213197,3.716344151170135,0.8617482658739392,1.4913193945473797,2.628426641959985,2.628426641959985,4.1969586058725294,0.9625911480506769,1.6658354939093074
0.0,-145.0,0.1028860381342313,-0.003404045241777654,-0.0642090374292618,0.01023477668502804,0.12175662408407727,0.024707210434423865,0.024707210434423865,-16.071762858130484,0.0070457525774267555,0.01766145785699711,2.3530676604213205,2.3530676604213205,3.7163441511701367,0.6710240549930243,1.6820436054282963,2.628426641959986,2.628426641959986,4.196958605872531,0.7495481465347612,1.878878495425225
0.0,-140.0,0.1080907120452458,-0.004283111385763375,-0.05499759358465219,0.00989914817838419,0.12175662408407718,0.024707210434423834,0.024707210434423834,-16.071762858130487,0.005204424779733975,0.01950278565468986,2.3530676604213174,2.3530676604213174,3.716344151170131,0.4956595028318072,1.8574081575895105,2.628426641959982,2.628426641959982,4.196958605872525,0.5536622106099974,2.074764431349985
0.0,-135.0,0.1124727503706397,-0.005129580465890059,-0.04536758484440848,0.009488181176833713,0.12175662408407724,0.02470721043442386,0.02470721043442386,-16.071762858130484,0.003580321211974119,0.021126889222449735,2.3530676604213197,2.3530676604213197,3.716344151170135,0.34098297256896365,2.0120846878523557,2.628426641959985,2.628426641959985,4.1969586058725294,0.3808852353163956,2.247541406643589
