Phi[deg],Theta[deg],dB(GainTotal),Array_Data
-140,-178,14.7187,
-138,-178,14.7097,
-136,-178,14.7002,
-134,-178,14.6902,
-132,-178,14.6798,
-130,-178,14.669,
-128,-178,14.6579,
-126,-178,14.6466,
-124,-178,14.6351,
-122,-178,14.6237,
-120,-178,14.6122,
-118,-178,14.601,
-116,-178,14.5901,
-114,-178,14.5796,
-112,-178,14.5696,
-110,-178,14.5604,
-108,-178,14.5519,
-106,-178,14.5443,
-104,-178,14.5378,
-102,-178,14.5324,
-100,-178,14.5282,
-98,-178,14.5252,
-96,-178,14.5236,
-94,-178,14.5234,
-92,-178,14.5247,
-90,-178,14.5273,
-88,-178,14.5314,
-86,-178,14.5369,
-84,-178,14.5438,
-82,-178,14.552,
-80,-178,14.5614,
-78,-178,14.5721,
-76,-178,14.5838,
-74,-178,14.5965,
-72,-178,14.61,
-70,-178,14.6243,
-68,-178,14.6392,
-66,-178,14.6546,
-64,-178,14.6704,
-62,-178,14.6864,
-60,-178,14.7025,
-58,-178,14.7186,
-56,-178,14.7346,
-54,-178,14.7503,
-52,-178,14.7658,
-50,-178,14.7808,
-48,-178,14.7954,
-46,-178,14.8095,
-44,-178,14.823,
-42,-178,14.8358,
-40,-178,14.8481,
-38,-178,14.8597,
-36,-178,14.8707,
-34,-178,14.881,
-32,-178,14.8907,
-30,-178,14.8998,
-28,-178,14.9084,
-26,-178,14.9165,
-24,-178,14.9241,
-22,-178,14.9313,
-20,-178,14.9382,
-18,-178,14.9447,
-16,-178,14.9509,
-14,-178,14.9569,
-12,-178,14.9628,
-10,-178,14.9684,
-8,-178,14.9739,
-6,-178,14.9793,
-4,-178,14.9846,
-2,-178,14.9898,
0,-178,14.9949,
2,-178,14.9998,
4,-178,15.0046,
6,-178,15.0092,
8,-178,15.0136,
10,-178,15.0176,
12,-178,15.0214,
14,-178,15.0248,
16,-178,15.0278,
18,-178,15.0303,
20,-178,15.0322,
22,-178,15.0335,
24,-178,15.0341,
26,-178,15.034,
28,-178,15.0331,
30,-178,15.0314,
32,-178,15.0289,
34,-178,15.0254,
36,-178,15.0211,
38,-178,15.0159,
40,-178,15.0097,
42,-178,15.0027,
44,-178,14.9949,
46,-178,14.9862,
48,-178,14.9768,
50,-178,14.9666,
52,-178,14.9559,
54,-178,14.9447,
56,-178,14.933,
58,-178,14.921,
60,-178,14.9088,
62,-178,14.8965,
64,-178,14.8842,
66,-178,14.8721,
68,-178,14.8603,
70,-178,14.8489,
72,-178,14.838,
74,-178,14.8278,
76,-178,14.8184,
78,-178,14.8098,
80,-178,14.8021,
82,-178,14.7955,
84,-178,14.7899,
86,-178,14.7855,
88,-178,14.7822,
90,-178,14.7801,
92,-178,14.7792,
94,-178,14.7794,
